Date,Site,Landscape Treatment,Bowl Location,DateType,Block,Apis mellifera 
6/15/2016,Oakland,Simple,Grassy Strip,42536Grassy Strip,East,0
6/29/2016,Oakland,Simple,Grassy Strip,42550Grassy Strip,East,1
7/15/2016,Oakland,Simple,Grassy Strip,42566Grassy Strip,East,0
7/27/2016,Oakland,Simple,Grassy Strip,42578Grassy Strip,East,2
8/10/2016,Oakland,Simple,Grassy Strip,42592Grassy Strip,East,1
9/6/2016,Oakland,Simple,Grassy Strip,42619Grassy Strip,East,1
6/15/2016,Ivis,Simple,Grassy Strip,42536Grassy Strip,West,1
6/29/2016,Ivis,Simple,Grassy Strip,42550Grassy Strip,West,4
7/15/2016,Ivis,Simple,Grassy Strip,42566Grassy Strip,West,0
7/27/2016,Ivis,Simple,Grassy Strip,42578Grassy Strip,West,1
8/10/2016,Ivis,Simple,Grassy Strip,42592Grassy Strip,West,0
9/6/2016,Ivis,Simple,Grassy Strip,42619Grassy Strip,West,0
6/15/2016,Tracy 1,Simple,Grassy Strip,42536Grassy Strip,West,0
6/29/2016,Tracy 1,Simple,Grassy Strip,42550Grassy Strip,West,2
7/15/2016,Tracy 1,Simple,Grassy Strip,42566Grassy Strip,West,0
7/27/2016,Tracy 1,Simple,Grassy Strip,42578Grassy Strip,West,0
8/10/2016,Tracy 1,Simple,Grassy Strip,42592Grassy Strip,West,0
9/6/2016,Tracy 1,Simple,Grassy Strip,42619Grassy Strip,West,0
6/15/2016,East Dairy,Simple,Grassy Strip,42536Grassy Strip,East,0
6/29/2016,East Dairy,Simple,Grassy Strip,42550Grassy Strip,East,0
7/15/2016,East Dairy,Simple,Grassy Strip,42566Grassy Strip,East,0
7/27/2016,East Dairy,Simple,Grassy Strip,42578Grassy Strip,East,0
8/10/2016,East Dairy,Simple,Grassy Strip,42592Grassy Strip,East,1
9/6/2016,East Dairy,Simple,Grassy Strip,42619Grassy Strip,East,11
6/15/2016,Uthe,Simple,Grassy Strip,42536Grassy Strip,East,0
6/29/2016,Uthe,Simple,Grassy Strip,42550Grassy Strip,East,0
7/15/2016,Uthe,Simple,Grassy Strip,42566Grassy Strip,East,0
7/27/2016,Uthe,Simple,Grassy Strip,42578Grassy Strip,East,0
8/10/2016,Uthe,Simple,Grassy Strip,42592Grassy Strip,East,0
9/6/2016,Uthe,Simple,Grassy Strip,42619Grassy Strip,East,2
6/15/2016,Kostelnick,Complex,Grassy Strip,42536Grassy Strip,West,0
6/29/2016,Kostelnick,Complex,Grassy Strip,42550Grassy Strip,West,1
7/15/2016,Kostelnick,Complex,Grassy Strip,42566Grassy Strip,West,0
7/27/2016,Kostelnick,Complex,Grassy Strip,42578Grassy Strip,West,0
8/10/2016,Kostelnick,Complex,Grassy Strip,42592Grassy Strip,West,0
9/6/2016,Kostelnick,Complex,Grassy Strip,42619Grassy Strip,West,0
6/15/2016,Haglund 1,Complex,Grassy Strip,42536Grassy Strip,West,1
6/29/2016,Haglund 1,Complex,Grassy Strip,42550Grassy Strip,West,3
7/15/2016,Haglund 1,Complex,Grassy Strip,42566Grassy Strip,West,6
7/27/2016,Haglund 1,Complex,Grassy Strip,42578Grassy Strip,West,1
8/10/2016,Haglund 1,Complex,Grassy Strip,42592Grassy Strip,West,2
9/6/2016,Haglund 1,Complex,Grassy Strip,42619Grassy Strip,West,4
6/15/2016,Curtiss,Complex,Grassy Strip,42536Grassy Strip,East,1
6/29/2016,Curtiss,Complex,Grassy Strip,42550Grassy Strip,East,0
7/15/2016,Curtiss,Complex,Grassy Strip,42566Grassy Strip,East,2
7/27/2016,Curtiss,Complex,Grassy Strip,42578Grassy Strip,East,0
8/10/2016,Curtiss,Complex,Grassy Strip,42592Grassy Strip,East,2
9/6/2016,Curtiss,Complex,Grassy Strip,42619Grassy Strip,East,0
6/15/2016,Tracy 3,Complex,Grassy Strip,42536Grassy Strip,West,3
6/29/2016,Tracy 3,Complex,Grassy Strip,42550Grassy Strip,West,0
7/15/2016,Tracy 3,Complex,Grassy Strip,42566Grassy Strip,West,1
7/27/2016,Tracy 3,Complex,Grassy Strip,42578Grassy Strip,West,3
8/10/2016,Tracy 3,Complex,Grassy Strip,42592Grassy Strip,West,1
9/6/2016,Tracy 3,Complex,Grassy Strip,42619Grassy Strip,West,8
6/15/2016,Ontario,Complex,Grassy Strip,42536Grassy Strip,East,1
6/29/2016,Ontario,Complex,Grassy Strip,42550Grassy Strip,East,2
7/15/2016,Ontario,Complex,Grassy Strip,42566Grassy Strip,East,0
7/27/2016,Ontario,Complex,Grassy Strip,42578Grassy Strip,East,0
8/10/2016,Ontario,Complex,Grassy Strip,42592Grassy Strip,East,1
9/6/2016,Ontario,Complex,Grassy Strip,42619Grassy Strip,East,2
6/15/2016,River ridge,CSA,CSA,42536CSA,East,0
6/29/2016,River ridge,CSA,CSA,42550CSA,East,1
7/15/2016,River ridge,CSA,CSA,42566CSA,East,0
7/27/2016,River ridge,CSA,CSA,42578CSA,East,1
8/10/2016,River ridge,CSA,CSA,42592CSA,East,0
6/15/2016,Berry Patch,CSA,CSA,42536CSA,East,0
6/29/2016,Berry Patch,CSA,CSA,42550CSA,East,2
7/15/2016,Berry Patch,CSA,CSA,42566CSA,East,2
7/27/2016,Berry Patch,CSA,CSA,42578CSA,East,1
8/10/2016,Berry Patch,CSA,CSA,42592CSA,East,3
9/6/2016,Berry Patch,CSA,CSA,42619CSA,East,7
6/15/2016,Mustard Seed,CSA,CSA,42536CSA,East,1
6/29/2016,Mustard Seed,CSA,CSA,42550CSA,East,0
7/15/2016,Mustard Seed,CSA,CSA,42566CSA,East,1
7/27/2016,Mustard Seed,CSA,CSA,42578CSA,East,3
8/10/2016,Mustard Seed,CSA,CSA,42592CSA,East,2
9/6/2016,Mustard Seed,CSA,CSA,42619CSA,East,2
6/15/2016,Black Cat,CSA,CSA,42536CSA,East,0
6/29/2016,Black Cat,CSA,CSA,42550CSA,East,0
7/15/2016,Black Cat,CSA,CSA,42566CSA,East,0
7/27/2016,Black Cat,CSA,CSA,42578CSA,East,0
8/10/2016,Black Cat,CSA,CSA,42592CSA,East,0
9/6/2016,Black Cat,CSA,CSA,42619CSA,East,1
6/15/2016,7 pines,CSA,CSA,42536CSA,East,0
6/29/2016,7 pines,CSA,CSA,42550CSA,East,0
7/15/2016,7 pines,CSA,CSA,42566CSA,East,0
7/27/2016,7 pines,CSA,CSA,42578CSA,East,0
8/10/2016,7 pines,CSA,CSA,42592CSA,East,0
9/6/2016,7 pines,CSA,CSA,42619CSA,East,1
